num_commande,code_client,date_commande,date_livraison,date_envoi,port,destination,adresse_livraison,ville_livraison,region_livraison,code_postale_livraison,pays_livraison
C1001,ALFKI,2023-01-01 00:00:00.000,NULL,2023-01-02 00:00:00.000,0.0000,Europe,Obere Str. 57,Berlin,NULL,12209,Germany
C1002,ANATR,1900-01-01 00:00:00.000,NULL,NULL,0.0000,North America,Av. Insurgentes Sur 1602,Mexico City,NULL,03940,mexico
C1003,ALFKI,2025-12-25 00:00:00.000,NULL,NULL,0.0000,Europe,Obere Str. 57,Berlin,NULL,12209,"GERMANY "
C1004,DUMMY,2023-05-10 00:00:00.000,NULL,2023-05-11 00:00:00.000,0.0000,Europe,10 Rue de Test,Paris,Île-de-France,75000,Fr
C1005,BOLID,2023-10-01 00:00:00.000,2023-10-05 00:00:00.000,2023-10-02 00:00:00.000,10.0000,Europe,Calle del Prado 12,Madrid,Madrid,28014,Spain
C1006,ERNSH,2023-12-01 00:00:00.000,2023-11-01 00:00:00.000,2023-12-02 00:00:00.000,15.0000,Europe,Herrengasse 1,Graz,Styria,8010,Austria
C1007,QUICK,2024-01-15 00:00:00.000,NULL,2024-01-16 00:00:00.000,20.0000,Europe,Taucherstraße 10,Cunewalde,NULL,02733,Germany
C1008,BOLI2,2023-10-01 00:00:00.000,2023-10-05 00:00:00.000,2023-10-02 00:00:00.000,10.0000,Europe,Calle Mayor 1,madrid,Madrid,28013,Espagne
C1009,GHOST,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,NULL,0.0000,Europe,Unknown,Londres,NULL,00000,UK
C1010,ALFKI,2023-05-20 00:00:00.000,2023-05-25 00:00:00.000,2023-05-21 00:00:00.000,45.0000,North America,Obere Str. 57,Berlin,NULL,12209,États-Unis
C1011,ALFKI,2023-05-20 00:00:00.000,2023-05-25 00:00:00.000,2023-05-21 00:00:00.000,45.0000,North America,Obere Str. 57,Berlin,NULL,12209,USA
C1012,MAROC,2023-06-01 00:00:00.000,NULL,2023-06-02 00:00:00.000,50.0000,Africa,Boulevard Zerktouni,Casablanca,Casa-Settat,20000,Morocco
C1013,USA01,2023-06-02 00:00:00.000,NULL,2023-06-03 00:00:00.000,5000.0000,North America,5th Avenue,New York,NY,10001,USA
C1014,FRA01,2023-06-03 00:00:00.000,NULL,2023-06-04 00:00:00.000,-10.5000,Europe,20 Rue Faidherbe,Lille,Hauts-de-France,59000,France
C1015,ALFKI,2023-01-01 00:00:00.000,NULL,2023-01-02 00:00:00.000,0.0000,Europe,Obere Str. 57,Berlin,NULL,12209,Germany
C1016,MAROC,2023-06-10 00:00:00.000,NULL,NULL,25.0000,Africa,Rue Hassan II,Casa,Casa-Settat,20000,Morocco
C2001,ALFKI,1753-01-01 00:00:00.000,NULL,NULL,0.0000,Europe,1 Rue Test,Paris,Île-de-France,75001,France
C2002,ANATR,2023-02-28 00:00:00.000,NULL,NULL,10.0000,Europe,Quai du Port,Marseille,Provence-Alpes,13002,France
C2003,DUMMY,2023-03-01 00:00:00.000,2023-03-01 00:00:00.000,2023-03-01 00:00:00.000,0.0000,Europe,Rue du Panier,Marseille,PACA,13002,FR
C2004,BOLID,2023-03-05 00:00:00.000,2024-03-05 00:00:00.000,2023-03-06 00:00:00.000,9999.0000,Europe,Rue Paradis,Marseille,PACA,13008,France
C2005,ALFKI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C2006,MAROC,2023-04-01 00:00:00.000,NULL,2023-04-02 00:00:00.000,15.0000,Unknown,Unknown,Unknown,NULL,NULL,Unknown
C3001,CL009,2023-07-01 00:00:00.000,2023-07-03 00:00:00.000,2023-07-02 00:00:00.000,20.0000,Africa,Avenue Mohammed V,Rabat,Rabat-Sale,10000,Morocco
C3002,CL010,2023-07-01 00:00:00.000,NULL,NULL,20.0000,Africa,Av. Mohammed V,rabat,Rabat,10000,MAROC
C3003,CL011,1900-01-01 00:00:00.000,NULL,NULL,0.0000,Europe,Promenade des Anglais,Nice,Provence-Alpes,06000,France
C3004,CL012,2024-12-31 00:00:00.000,NULL,NULL,15.0000,Europe,Place du Capitole,Toulouse,Occitanie,31000,France
C3005,CL013,2023-08-15 00:00:00.000,2023-08-10 00:00:00.000,2023-08-16 00:00:00.000,10.0000,Europe,Rue Alsace Lorraine,Toulouse,Occitanie,31000,FR
C3006,CL009,2023-09-01 00:00:00.000,NULL,NULL,5.0000,Unknown,Unknown,Unknown,NULL,NULL,Unknown
